"id";"five_min_start"
400;1540221300
399;1540222200
398;1540222800
397;1540223700
396;1540224000
395;1540287300
394;1540287900
393;1540288500
392;1540288800
391;1540289400
390;1540291500
389;1540292100
388;1540292400
387;1540293300
386;1540294200
385;1540298100
384;1540298400
383;1540299600
382;1540302000
381;1540304400
2000;1540306500
1999;1540306800
1998;1540307100
1997;1540307400
1996;1540308300
380;1540309200
379;1540309500
378;1540309800
377;1540310100
376;1540310400
375;1540373700
1993;1540374000
374;1540375200
373;1540375500
372;1540375800
1989;1540376100
371;1540376400
1988;1540376700
370;1540377000
1987;1540377300
1986;1540377600
1985;1540377900
1984;1540378200
1983;1540380000
1982;1540380300
369;1540380600
368;1540381200
1980;1540382100
1979;1540384200
367;1540384500
366;1540384800
365;1540390200
364;1540391100
1977;1540391700
363;1540392900
362;1540394100
361;1540395000
360;1540395300
359;1540395600
358;1540396200
357;1540396500
356;1540396800
1976;1540460100
1975;1540460400
1974;1540461000
1973;1540461600
1972;1540462200
1971;1540463100
1970;1540463700
355;1540464000
354;1540465200
353;1540466700
352;1540467000
1968;1540467600
1967;1540467900
1966;1540468800
1965;1540469100
1964;1540471500
351;1540471800
350;1540472700
349;1540473600
1963;1540473900
348;1540474200
1962;1540475400
1961;1540475700
347;1540477800
346;1540478100
345;1540478400
1958;1540479000
1957;1540479900
344;1540480800
1956;1540481700
343;1540482000
342;1540482300
341;1540482600
340;1540483200
339;1540546500
1954;1540546800
1953;1540547100
338;1540548300
337;1540548600
1952;1540550700
1951;1540551300
1950;1540551600
1949;1540552500
336;1540552800
1948;1540554600
335;1540554900
1946;1540557600
334;1540559100
333;1540559400
1944;1540561500
332;1540563600
331;1540566600
330;1540568100
329;1540568700
328;1540569000
6174;1540569600
1942;1540805700
1941;1540808400
1940;1540808700
1939;1540809600
1938;1540809900
327;1540811400
1937;1540811700
1936;1540812000
1935;1540812300
1934;1540812900
1933;1540813200
326;1540815000
325;1540815300
1932;1540816200
324;1540817400
1931;1540818300
1930;1540818600
323;1540818900
1929;1540819200
1200;1540819500
1199;1540819800
1198;1540820100
1197;1540820400
1196;1540820700
600;1540821000
500;1540821300
100;1540821600
99;1540821900
98;1540822200
97;1540822500
96;1540822800
95;1540823100
94;1540823400
93;1540823700
92;1540824000
91;1540824300
90;1540824600
89;1540824900
88;1540825200
87;1540825500
86;1540825800
85;1540826100
84;1540826400
83;1540826700
82;1540827000
81;1540827300
80;1540827600
79;1540827900
78;1540828200
77;1540828500
76;1540828800
75;1540892100
74;1540892400
73;1540892700
72;1540893000
71;1540893300
70;1540893600
69;1540893900
68;1540894200
67;1540894500
66;1540894800
65;1540895100
64;1540895400
63;1540895700
62;1540896000
61;1540896300
60;1540896600
161;1540896900
160;1540897200
59;1540897800
58;1540898100
57;1540898400
56;1540898700
55;1540899000
54;1540899300
53;1540899600
52;1540899900
51;1540900200
50;1540900500
49;1540900800
48;1540901100
47;1540901400
46;1540901700
45;1540902000
44;1540902300
43;1540902600
42;1540902900
41;1540903200
40;1540903500
39;1540903800
38;1540904100
37;1540904400
36;1540904700
35;1540905000
34;1540905300
33;1540905600
32;1540905900
31;1540906200
30;1540906500
29;1540906800
28;1540907100
27;1540907400
26;1540907700
25;1540908000
24;1540908300
23;1540908600
22;1540908900
21;1540909200
20;1540909500
19;1540909800
18;1540910100
17;1540910400
16;1540910700
